Countries,year,rates
Poland,2010,6
Portugal,2010,3.8
Slovak Republic,2010,4.7
Slovenia,2010,3.2
Spain,2010,3.6
Sweden,2010,5.3
Switzerland,2010,5.5
Turkey,2010,8
United States,2010,6.8
Costa Rica,2010,5.3
Bulgaria,2010,3.3
Croatia,2010,5
Cyprus,2010,7.3
Malta,2010,6.3
Romania,2010,5.7
Australia,2011,5.4
Austria,2011,4.3
Belgium,2011,3.7
Czech Republic,2011,4.3
Denmark,2011,4.9
Estonia,2011,4.1
Finland,2011,5.3
France,2011,3.6
Germany,2011,4.6
Greece,2011,5
Hungary,2011,3.6
Ireland,2011,4.3
Italy,2011,3.4
Japan,2011,5.2
Korea,2011,6.6
Latvia,2011,5.2
Lithuania,2011,6.3
Luxembourg,2011,3.3
Mexico,2011,4.9
Netherlands,2011,4.3
New Zealand,2011,4.7
Norway,2011,4.6
Poland,2011,5.4
Portugal,2011,3.4
Slovak Republic,2011,4.7
Slovenia,2011,3.2
Spain,2011,3.4
Sweden,2011,5
Switzerland,2011,5.3
Turkey,2011,8
United States,2011,6.8
Costa Rica,2011,5.4
Bulgaria,2011,2.9
Croatia,2011,4.7
Cyprus,2011,7.3
Malta,2011,6.2
Romania,2011,5.2
Australia,2012,5.4
Austria,2012,4.6
Belgium,2012,3.8
Czech Republic,2012,4.3
Denmark,2012,5.1
Estonia,2012,4.5
Finland,2012,5.3
France,2012,3.7
Germany,2012,4.8
Greece,2012,4.5
Hungary,2012,3.6
Ireland,2012,4.5
Italy,2012,3.5
Japan,2012,5.3
Korea,2012,6.5
Latvia,2012,5.5
Lithuania,2012,6.9
Luxembourg,2012,3.4
Mexico,2012,5
Netherlands,2012,4.2
New Zealand,2012,4.7
Norway,2012,4.8
Poland,2012,5.4
Portugal,2012,3.3
Slovak Republic,2012,4.8
Slovenia,2012,3.4
Spain,2012,3.5
Sweden,2012,5.3
Switzerland,2012,5.3
Turkey,2012,8
United States,2012,6.8
Costa Rica,2012,5.6
Bulgaria,2012,2.9
Croatia,2012,4.8
Cyprus,2012,6.7
Malta,2012,6.7
Romania,2012,5.4
Australia,2013,5.1
Austria,2013,4.3
Belgium,2013,3.4
Czech Republic,2013,4.1
Denmark,2013,4.9
Estonia,2013,4.3
Finland,2013,4.6
France,2013,3.6
Germany,2013,4.6
Greece,2013,4.7
Hungary,2013,3.7
Ireland,2013,4.5
Italy,2013,3.2
Japan,2013,5.3
Korea,2013,6.4
Latvia,2013,5.7
Lithuania,2013,6.9
Luxembourg,2013,3.2
Mexico,2013,4.9
Netherlands,2013,3.8
New Zealand,2013,4.4
Norway,2013,4.7
Poland,2013,4.7
Portugal,2013,3.1
Slovak Republic,2013,4.7
Slovenia,2013,3
Spain,2013,3.3
Sweden,2013,5.4
Switzerland,2013,4.9
Turkey,2013,7.9
United States,2013,6.8
Costa Rica,2013,5.5
Bulgaria,2013,3
Croatia,2013,4.5
Cyprus,2013,6.4
Malta,2013,6.1
Romania,2013,5.4
Australia,2014,5.2
Austria,2014,4.4
Belgium,2014,3.6
Czech Republic,2014,4.3
Denmark,2014,5
Estonia,2014,4.7
Finland,2014,4.5
France,2014,3.6
Germany,2014,4.8
Greece,2014,4.9
Hungary,2014,3.9
Ireland,2014,4.7
Italy,2014,3.1
Japan,2014,5.1
Korea,2014,6
Latvia,2014,6.3
Lithuania,2014,7.6
Luxembourg,2014,3
Mexico,2014,4.8
Netherlands,2014,3.9
New Zealand,2014,4.4
Norway,2014,4.6
Poland,2014,5
Portugal,2014,3
Slovak Republic,2014,4.9
Slovenia,2014,3.2
Spain,2014,3.4
Sweden,2014,5.5
Switzerland,2014,5.1
Turkey,2014,7.8
United States,2014,6.9
Costa Rica,2014,5.4
Bulgaria,2014,3.4
Croatia,2014,4.6
Cyprus,2014,6.3
Malta,2014,6.6
Romania,2014,5.9
Australia,2015,4.8
Austria,2015,5.1
Belgium,2015,4
Czech Republic,2015,4.6
Denmark,2015,5.1
Estonia,2015,5.2
Finland,2015,4.5
France,2015,3.6
Germany,2015,4.9
Greece,2015,5
Hungary,2015,4.7
Ireland,2015,4.7
Italy,2015,3.2
Japan,2015,5.1
Korea,2015,5.9
Latvia,2015,6.9
Lithuania,2015,7.6
Luxembourg,2015,3.6
Mexico,2015,4.6
Netherlands,2015,3.8
New Zealand,2015,4.3
Norway,2015,4.5
Poland,2015,5
Portugal,2015,3.1
Slovak Republic,2015,5.3
Slovenia,2015,3.1
Spain,2015,3.6
Sweden,2015,5.3
Switzerland,2015,5
Turkey,2015,7.7
United States,2015,6.9
Costa Rica,2015,5.5
Bulgaria,2015,3.9
Croatia,2015,4.7
Cyprus,2015,7.2
Malta,2015,6.7
Romania,2015,6.3
Australia,2016,4.9
Austria,2016,5.1
Belgium,2016,3.9
Czech Republic,2016,4.8
Denmark,2016,5.4
Estonia,2016,4.8
Finland,2016,4.5
France,2016,3.5
Germany,2016,5
Greece,2016,4.6
Hungary,2016,5.3
Ireland,2016,4.8
Italy,2016,3.4
Japan,2016,5
Korea,2016,5.5
Latvia,2016,6.6
Lithuania,2016,7.4
Luxembourg,2016,3.2
Mexico,2016,4.4
Netherlands,2016,3.8
New Zealand,2016,4.3
Norway,2016,4.5
Poland,2016,5.1
Portugal,2016,3.1
Slovak Republic,2016,5.5
Slovenia,2016,3.2
Spain,2016,3.7
Sweden,2016,5.4
Switzerland,2016,5
Turkey,2016,7.5
United States,2016,7
Costa Rica,2016,5.5
Bulgaria,2016,3.8
Croatia,2016,4.9
Cyprus,2016,7.5
Malta,2016,6.7
Romania,2016,6.8
Australia,2017,4.6
Austria,2017,5.1
Belgium,2017,3.9
Czech Republic,2017,5
Denmark,2017,5.5
Estonia,2017,4.9
Finland,2017,4.8
France,2017,3.5
Germany,2017,4.9
Greece,2017,4.7
Hungary,2017,5.2
Ireland,2017,4.6
Italy,2017,3.2
Japan,2017,4.9
Korea,2017,5.2
Latvia,2017,6.8
Lithuania,2017,7.5
Luxembourg,2017,3.2
Mexico,2017,4.3
Netherlands,2017,3.8
New Zealand,2017,4.3
Norway,2017,4.4
Poland,2017,5.1
Portugal,2017,3.3
Slovak Republic,2017,5.8
Slovenia,2017,3.1
Spain,2017,3.7
Sweden,2017,5.2
Switzerland,2017,4.8
Turkey,2017,7.1
United States,2017,6.9
Costa Rica,2017,5.2
Bulgaria,2017,4
Croatia,2017,4.9
Cyprus,2017,6.8
Malta,2017,6.3
Romania,2017,7.3
